,tournament,status
0,002,200
1,003,200
2,004,200
3,005,200
4,006,200
5,007,200
6,009,200
7,010,200
8,011,200
9,012,200
10,013,200
11,014,200
12,016,200
13,018,200
14,019,200
15,020,200
16,021,200
17,023,200
18,026,200
19,027,200
20,028,200
21,030,200
22,032,200
23,033,200
24,034,200
25,041,200
26,047,200
27,054,200
28,058,200
29,060,200
30,100,200
31,457,200
32,464,200
33,472,200
34,475,200
35,478,200
36,480,200
37,483,200
38,493,200
39,518,200
40,521,200
41,522,200
42,524,200
43,525,200
44,527,200
45,528,200
46,540,200
47,541,200
